80 169
5.084033613445379e-01 3.406850335070743e-02 0.000000000000000e+00
5.168067226890758e-01 3.626358897989580e-02 0.000000000000000e+00
5.252100840336135e-01 3.845867460908414e-02 0.000000000000000e+00
5.336134453781513e-01 4.065376023827252e-02 0.000000000000000e+00
5.420168067226890e-01 4.284884586746092e-02 0.000000000000000e+00
5.504201680672268e-01 4.504393149664929e-02 0.000000000000000e+00
5.588235294117646e-01 4.723901712583771e-02 0.000000000000000e+00
5.672268907563025e-01 4.943410275502606e-02 0.000000000000000e+00
5.756302521008402e-01 5.162918838421446e-02 0.000000000000000e+00
5.840336134453780e-01 5.382427401340284e-02 0.000000000000000e+00
5.924369747899160e-01 5.601935964259124e-02 0.000000000000000e+00
6.008403361344537e-01 5.821444527177959e-02 0.000000000000000e+00
6.092436974789915e-01 6.040953090096800e-02 0.000000000000000e+00
6.176470588235293e-01 6.260461653015641e-02 0.000000000000000e+00
6.260504201680671e-01 6.479970215934477e-02 0.000000000000000e+00
6.344537815126049e-01 6.699478778853316e-02 0.000000000000000e+00
6.428571428571427e-01 6.918987341772154e-02 0.000000000000000e+00
6.512605042016807e-01 7.138495904690996e-02 0.000000000000000e+00
6.596638655462185e-01 7.358004467609829e-02 0.000000000000000e+00
6.680672268907563e-01 7.577513030528668e-02 0.000000000000000e+00
6.764705882352941e-01 7.797021593447506e-02 0.000000000000000e+00
6.848739495798318e-01 8.016530156366347e-02 0.000000000000000e+00
6.932773109243696e-01 8.236038719285185e-02 0.000000000000000e+00
7.016806722689074e-01 8.455547282204022e-02 0.000000000000000e+00
7.100840336134452e-01 8.675055845122857e-02 0.000000000000000e+00
7.184873949579832e-01 8.894564408041700e-02 0.000000000000000e+00
7.268907563025210e-01 9.114072970960538e-02 0.000000000000000e+00
7.352941176470588e-01 9.333581533879376e-02 0.000000000000000e+00
7.436974789915966e-01 9.553090096798214e-02 0.000000000000000e+00
7.521008403361343e-01 9.772598659717054e-02 0.000000000000000e+00
7.605042016806721e-01 9.992107222635890e-02 0.000000000000000e+00
7.689075630252099e-01 1.021161578555473e-01 0.000000000000000e+00
7.773109243697479e-01 1.043112434847357e-01 0.000000000000000e+00
7.857142857142857e-01 1.065063291139241e-01 0.000000000000000e+00
7.941176470588235e-01 1.087014147431124e-01 0.000000000000000e+00
